index,sample,robustness_spec,shock,horizon,control_set,return_lags,shock_std,response_1sd_tightening,response_1sd_easing,asymmetry_pvalue,nobs
ftse250,full,baseline,path,0,own_lags_only,5,0.007831688458139412,-0.00030566217784429404,0.0003551183397112661,0.9108808050933616,7269
ftse250,full,baseline,path,5,own_lags_only,5,0.007831688458139412,0.00041564561105555226,0.0005514083977494624,0.33652790638171914,7264
ftse250,full,baseline,path,10,own_lags_only,5,0.007831688458139412,-0.00011311328899352811,0.0010826899536109287,0.5248319839606999,7259
ftse250,full,baseline,path,20,own_lags_only,5,0.007831688458139412,-0.0006769601835396402,0.0009912756599038059,0.8823146379580394,7249
ftse250,full,baseline,qe,0,own_lags_only,5,0.008275834415266841,-3.234771335751741e-05,8.197477454232871e-05,0.929086703657377,4300
ftse250,full,baseline,qe,5,own_lags_only,5,0.008275834415266841,-0.0005294678407447307,0.0009604481425295232,0.8498338186324321,4295
ftse250,full,baseline,qe,10,own_lags_only,5,0.008275834415266841,0.00029159600810664267,0.0011433557787395275,0.4783830015210564,4290
ftse250,full,baseline,qe,20,own_lags_only,5,0.008275834415266841,0.0010684005861406568,0.0037297190404098415,0.07302816733400594,4280
ftse250,full,baseline,target,0,own_lags_only,5,0.011215995251866777,-0.0005386414211540713,-0.00044868789306281225,0.008380103511075813,7269
ftse250,full,baseline,target,5,own_lags_only,5,0.011215995251866777,-0.0007371997190215435,-0.002079309910215579,0.00899836177835553,7264
ftse250,full,baseline,target,10,own_lags_only,5,0.011215995251866777,-0.0015502819812792752,-0.002955870564103034,0.011340376338146831,7259
ftse250,full,baseline,target,20,own_lags_only,5,0.011215995251866777,-0.0009823153547952016,-0.002466939131151158,0.09259728943347836,7249
ftse250,full,lag10,path,0,own_lags_only,10,0.007831688458139412,-0.00034502192037254526,0.0003671520304241446,0.958915740204037,7268
ftse250,full,lag10,path,5,own_lags_only,10,0.007831688458139412,0.0003865710190386443,0.0005076454591054851,0.3653019370814178,7263
ftse250,full,lag10,path,10,own_lags_only,10,0.007831688458139412,-0.00014082435536559836,0.0010518313829728763,0.546210908826217,7258
ftse250,full,lag10,path,20,own_lags_only,10,0.007831688458139412,-0.0006891743228988406,0.0009722914546355436,0.8927602608513145,7248
ftse250,full,lag10,qe,0,own_lags_only,10,0.008275834415266841,-3.992729569664787e-05,9.208487481650092e-05,0.9249998898286688,4300
ftse250,full,lag10,qe,5,own_lags_only,10,0.008275834415266841,-0.0005308822377729436,0.001016627937159199,0.8314786460294546,4295
ftse250,full,lag10,qe,10,own_lags_only,10,0.008275834415266841,0.0003010755385031051,0.0011548435319381494,0.4693589193561164,4290
ftse250,full,lag10,qe,20,own_lags_only,10,0.008275834415266841,0.0010934106522574067,0.003699285118108016,0.06908280990458618,4280
ftse250,full,lag10,target,0,own_lags_only,10,0.011215995251866777,-0.0005288022055072889,-0.0004109355261269708,0.011156963462350702,7268
ftse250,full,lag10,target,5,own_lags_only,10,0.011215995251866777,-0.000760277305847399,-0.002049538026171704,0.009315101976020713,7263
ftse250,full,lag10,target,10,own_lags_only,10,0.011215995251866777,-0.0015362968303368242,-0.002980123198398958,0.011788730616108635,7258
ftse250,full,lag10,target,20,own_lags_only,10,0.011215995251866777,-0.0009561686816751342,-0.0024764594935907554,0.09434567767875729,7248
ftse250,full,ftse100_controls,path,0,ftse100,5,0.007831688458139412,1.2191222171441438e-05,0.0002479943016231155,0.29003169940946305,7269
ftse250,full,ftse100_controls,path,5,ftse100,5,0.007831688458139412,0.0007999673798295036,0.00043475857151820574,0.16656341148970777,7264
ftse250,full,ftse100_controls,path,10,ftse100,5,0.007831688458139412,0.00028163794184529083,0.000963651954869592,0.3504093292452706,7259
ftse250,full,ftse100_controls,path,20,ftse100,5,0.007831688458139412,-0.0002793407911922347,0.0008682711679842674,0.772250579792097,7249
ftse250,full,ftse100_controls,qe,0,ftse100,5,0.008275834415266841,1.4127510921640474e-05,-0.0002481503697442268,0.5592363342158355,4300
ftse250,full,ftse100_controls,qe,5,ftse100,5,0.008275834415266841,-0.0005040785701750845,0.0005554044841620203,0.9792414238757088,4295
ftse250,full,ftse100_controls,qe,10,ftse100,5,0.008275834415266841,0.00026623323767057587,0.0007674839060710429,0.5603460773047872,4290
ftse250,full,ftse100_controls,qe,20,ftse100,5,0.008275834415266841,0.001098216428411177,0.003318872430745756,0.07474608889533253,4280
ftse250,full,ftse100_controls,target,0,ftse100,5,0.011215995251866777,-8.053496731833636e-05,7.47745216374369e-05,0.9739425935156106,7269
ftse250,full,ftse100_controls,target,5,ftse100,5,0.011215995251866777,-0.00020443425604043118,-0.0014879022659492396,0.07752797574631322,7264
ftse250,full,ftse100_controls,target,10,ftse100,5,0.011215995251866777,-0.0009847933688003595,-0.0023291542114885423,0.025513548668342545,7259
ftse250,full,ftse100_controls,target,20,ftse100,5,0.011215995251866777,-0.0004111873592092279,-0.0018347597162964538,0.2353990678582596,7249
ftse250,full,allshare_controls,path,0,ftse_all_share,5,0.007831688458139412,2.5310549429375402e-05,0.00020566503611298703,0.28598917143618985,7269
ftse250,full,allshare_controls,path,5,ftse_all_share,5,0.007831688458139412,0.000813897728317059,0.00038517961688935625,0.1737961086165295,7264
ftse250,full,allshare_controls,path,10,ftse_all_share,5,0.007831688458139412,0.000295005302702283,0.0009117195168593673,0.36113974315307684,7259
ftse250,full,allshare_controls,path,20,ftse_all_share,5,0.007831688458139412,-0.00026702233329206713,0.0008166553897117552,0.7856732770476701,7249
ftse250,full,allshare_controls,qe,0,ftse_all_share,5,0.008275834415266841,2.29323027111514e-05,-0.00022578377606751937,0.5533323145500477,4300
ftse250,full,allshare_controls,qe,5,ftse_all_share,5,0.008275834415266841,-0.0004969731169099815,0.0005868765884375985,0.9636969793209931,4295
ftse250,full,allshare_controls,qe,10,ftse_all_share,5,0.008275834415266841,0.0002714069018025606,0.0007919484416534005,0.5477390342174404,4290
ftse250,full,allshare_controls,qe,20,ftse_all_share,5,0.008275834415266841,0.0011006608373596142,0.0033529693274450345,0.07403496641995808,4280
ftse250,full,allshare_controls,target,0,ftse_all_share,5,0.011215995251866777,-4.650056010491447e-05,0.00010400298239554047,0.7231136153807981,7269
ftse250,full,allshare_controls,target,5,ftse_all_share,5,0.011215995251866777,-0.00017030633507456047,-0.0014585954562944482,0.08943304313671428,7264
ftse250,full,allshare_controls,target,10,ftse_all_share,5,0.011215995251866777,-0.0009521525201573324,-0.002299392165867903,0.02682344113894902,7259
ftse250,full,allshare_controls,target,20,ftse_all_share,5,0.011215995251866777,-0.00037964250830217793,-0.0018065699628810263,0.2476508913914356,7249
ftse250,full,dual_controls,path,0,ftse100+ftse_all_share,5,0.007831688458139412,-3.02371856607236e-05,-8.715387691678811e-06,0.5893056571394621,7269
ftse250,full,dual_controls,path,5,ftse100+ftse_all_share,5,0.007831688458139412,0.0007514557791223389,0.0001609789593711184,0.2888193193396701,7264
ftse250,full,dual_controls,path,10,ftse100+ftse_all_share,5,0.007831688458139412,0.0002524829104811192,0.0006492814316349173,0.4923742120675727,7259
ftse250,full,dual_controls,path,20,ftse100+ftse_all_share,5,0.007831688458139412,-0.000335521393093107,0.0006269884736095799,0.8840505239303034,7249
ftse250,full,dual_controls,qe,0,ftse100+ftse_all_share,5,0.008275834415266841,7.344987933965049e-05,2.2173388812131298e-05,0.045382196405785086,4300
ftse250,full,dual_controls,qe,5,ftse100+ftse_all_share,5,0.008275834415266841,-0.000554917450730015,0.0005088522417767868,0.97812105461371,4295
ftse250,full,dual_controls,qe,10,ftse100+ftse_all_share,5,0.008275834415266841,0.00025464482062889833,0.0008268903086819511,0.5077183124887958,4290
ftse250,full,dual_controls,qe,20,ftse100+ftse_all_share,5,0.008275834415266841,0.0009433834847195399,0.0030947681937483706,0.07426526855257272,4280
ftse250,full,dual_controls,target,0,ftse100+ftse_all_share,5,0.011215995251866777,-3.131124200792656e-05,5.831597669959928e-05,0.7365006850686026,7269
ftse250,full,dual_controls,target,5,ftse100+ftse_all_share,5,0.011215995251866777,-0.00014354216306601648,-0.0015259009267667377,0.08915555096263128,7264
ftse250,full,dual_controls,target,10,ftse100+ftse_all_share,5,0.011215995251866777,-0.000948402899911423,-0.002326744713272489,0.02517422531787181,7259
ftse250,full,dual_controls,target,20,ftse100+ftse_all_share,5,0.011215995251866777,-0.00034455318456894107,-0.0018472376808298845,0.25332453010901945,7249
ftse250,pre_qe,baseline,path,0,own_lags_only,5,0.008231010480519493,0.00029028226779844867,6.817477763832004e-05,0.5965173922824603,2969
ftse250,pre_qe,baseline,path,5,own_lags_only,5,0.008231010480519493,0.0003284941896759022,3.789766075608753e-06,0.8461939826618103,2969
ftse250,pre_qe,baseline,path,10,own_lags_only,5,0.008231010480519493,-6.181082318496978e-05,0.0009155401261201974,0.7669843683504026,2969
ftse250,pre_qe,baseline,path,20,own_lags_only,5,0.008231010480519493,-0.0006979235397363123,0.001902895493422319,0.7196815267025342,2969
ftse250,pre_qe,baseline,target,0,own_lags_only,5,0.015965107707405425,-0.0007533910248222395,-0.0005809118661197875,0.10993099448599124,2969
ftse250,pre_qe,baseline,target,5,own_lags_only,5,0.015965107707405425,-0.0004524518577105407,-0.0018554385860567201,0.3652946043363926,2969
ftse250,pre_qe,baseline,target,10,own_lags_only,5,0.015965107707405425,-0.001198975825977965,-0.003131182231007127,0.2610107906918848,2969
ftse250,pre_qe,baseline,target,20,own_lags_only,5,0.015965107707405425,-0.0005765346714869841,-0.002530664509264442,0.46297095209478645,2969
ftse250,pre_qe,lag10,path,0,own_lags_only,10,0.008231010480519493,0.00017966990084813446,6.951955004206517e-05,0.7066083981684432,2968
ftse250,pre_qe,lag10,path,5,own_lags_only,10,0.008231010480519493,0.00024868902663631074,-7.251478950082176e-05,0.9190421422260915,2968
ftse250,pre_qe,lag10,path,10,own_lags_only,10,0.008231010480519493,-0.00026525529558795466,0.0008529536567427755,0.8416178611193128,2968
ftse250,pre_qe,lag10,path,20,own_lags_only,10,0.008231010480519493,-0.0009870436654342279,0.0017281892913507126,0.8233887019598543,2968
ftse250,pre_qe,lag10,target,0,own_lags_only,10,0.015965107707405425,-0.000744684526628744,-0.0004924139381415491,0.13717394128633406,2968
ftse250,pre_qe,lag10,target,5,own_lags_only,10,0.015965107707405425,-0.0005213791074839939,-0.0018045424545904357,0.3772953039719842,2968
ftse250,pre_qe,lag10,target,10,own_lags_only,10,0.015965107707405425,-0.0011478089318796944,-0.0030377276362776187,0.29048971915580335,2968
ftse250,pre_qe,lag10,target,20,own_lags_only,10,0.015965107707405425,-0.00045470113498149317,-0.0021837656188221375,0.5348697024809557,2968
ftse250,pre_qe,ftse100_controls,path,0,ftse100,5,0.008231010480519493,0.00031778005395778717,0.0001427078762467763,0.16366940459538704,2969
ftse250,pre_qe,ftse100_controls,path,5,ftse100,5,0.008231010480519493,0.0003758124946281711,9.011552938598205e-05,0.7321901893882058,2969
ftse250,pre_qe,ftse100_controls,path,10,ftse100,5,0.008231010480519493,2.835001355317621e-05,0.001011328521869106,0.663845877983861,2969
ftse250,pre_qe,ftse100_controls,path,20,ftse100,5,0.008231010480519493,-0.0006363622654161792,0.0020215054720217917,0.641239003329966,2969
ftse250,pre_qe,ftse100_controls,target,0,ftse100,5,0.015965107707405425,-0.0003296944054777952,-5.9210143809475156e-05,0.32665857286458433,2969
ftse250,pre_qe,ftse100_controls,target,5,ftse100,5,0.015965107707405425,4.406990539380203e-05,-0.0012036021108614737,0.5842494862747266,2969
ftse250,pre_qe,ftse100_controls,target,10,ftse100,5,0.015965107707405425,-0.0006793281380109678,-0.002442073739174529,0.3370275710427244,2969
ftse250,pre_qe,ftse100_controls,target,20,ftse100,5,0.015965107707405425,1.0249606356213022e-05,-0.0018000356014372032,0.638971144795748,2969
ftse250,pre_qe,allshare_controls,path,0,ftse_all_share,5,0.008231010480519493,0.00026092969943059793,0.0001271233573011842,0.17948429981698033,2969
ftse250,pre_qe,allshare_controls,path,5,ftse_all_share,5,0.008231010480519493,0.0002992375828518429,6.499830342816952e-05,0.7841888050078603,2969
ftse250,pre_qe,allshare_controls,path,10,ftse_all_share,5,0.008231010480519493,-6.315730847174498e-05,0.0009787311894766469,0.6970280060857208,2969
ftse250,pre_qe,allshare_controls,path,20,ftse_all_share,5,0.008231010480519493,-0.0007212158530447897,0.0019935196421166177,0.6652898012453456,2969
ftse250,pre_qe,allshare_controls,target,0,ftse_all_share,5,0.015965107707405425,-0.0002625984518561552,2.965517987948202e-06,0.44579143572031843,2969
ftse250,pre_qe,allshare_controls,target,5,ftse_all_share,5,0.015965107707405425,0.00012277229439797794,-0.0011301333128314664,0.6286614979412037,2969
ftse250,pre_qe,allshare_controls,target,10,ftse_all_share,5,0.015965107707405425,-0.0005987233492441927,-0.002359643816080114,0.35400581661079944,2969
ftse250,pre_qe,allshare_controls,target,20,ftse_all_share,5,0.015965107707405425,9.23806252226185e-05,-0.001721161165644057,0.6664756174305828,2969
ftse250,pre_qe,dual_controls,path,0,ftse100+ftse_all_share,5,0.008231010480519493,-0.0001424472572617348,-2.0844588218945166e-05,0.14297513110401414,2969
ftse250,pre_qe,dual_controls,path,5,ftse100+ftse_all_share,5,0.008231010480519493,-0.00033950425932444584,-0.0002019988719338688,0.6674288662553338,2969
ftse250,pre_qe,dual_controls,path,10,ftse100+ftse_all_share,5,0.008231010480519493,-0.0008377078288132863,0.0006460142169066081,0.9324877391833299,2969
ftse250,pre_qe,dual_controls,path,20,ftse100+ftse_all_share,5,0.008231010480519493,-0.001391655381280981,0.0017150453414283018,0.9116232725500141,2969
ftse250,pre_qe,dual_controls,target,0,ftse100+ftse_all_share,5,0.015965107707405425,2.2569287657034714e-05,0.0001889182949377263,0.0985153928209494,2969
ftse250,pre_qe,dual_controls,target,5,ftse100+ftse_all_share,5,0.015965107707405425,0.00044306593309280753,-0.000874053694917514,0.8301790091819614,2969
ftse250,pre_qe,dual_controls,target,10,ftse100+ftse_all_share,5,0.015965107707405425,-0.0002942680199477864,-0.0019819527885125694,0.43987031353889317,2969
ftse250,pre_qe,dual_controls,target,20,ftse100+ftse_all_share,5,0.015965107707405425,0.0003866092800566087,-0.0014218759504277128,0.7775770580147685,2969
ftse250,post_qe,baseline,path,0,own_lags_only,5,0.007543672872961001,-0.0004919228553981998,0.000828068936367273,0.4911697518889119,4300
ftse250,post_qe,baseline,path,5,own_lags_only,5,0.007543672872961001,0.0007647320556699812,0.0015463394635784275,0.03943685334470768,4295
ftse250,post_qe,baseline,path,10,own_lags_only,5,0.007543672872961001,-9.670660059164432e-05,0.0014675118583028198,0.31265677354471977,4290
ftse250,post_qe,baseline,path,20,own_lags_only,5,0.007543672872961001,-0.0005479354470654739,0.00039633273452125344,0.9513951069256835,4280
ftse250,post_qe,baseline,qe,0,own_lags_only,5,0.008275834415266841,-3.234771335751741e-05,8.197477454232871e-05,0.929086703657377,4300
ftse250,post_qe,baseline,qe,5,own_lags_only,5,0.008275834415266841,-0.0005294678407447307,0.0009604481425295232,0.8498338186324321,4295
ftse250,post_qe,baseline,qe,10,own_lags_only,5,0.008275834415266841,0.00029159600810664267,0.0011433557787395275,0.4783830015210564,4290
ftse250,post_qe,baseline,qe,20,own_lags_only,5,0.008275834415266841,0.0010684005861406568,0.0037297190404098415,0.07302816733400594,4280
ftse250,post_qe,baseline,target,0,own_lags_only,5,0.006034745462165063,-0.0004098701791760801,-0.0005600593933761776,0.0025667557895545858,4300
ftse250,post_qe,baseline,target,5,own_lags_only,5,0.006034745462165063,-0.000423797731377025,-0.00259499339628065,0.009340402302226637,4295
ftse250,post_qe,baseline,target,10,own_lags_only,5,0.006034745462165063,-0.0008858760378910093,-0.0021423663996706778,0.011431420765052734,4290
ftse250,post_qe,baseline,target,20,own_lags_only,5,0.006034745462165063,-0.001030891376955972,-0.0030538651526000587,0.02019271421789782,4280
ftse250,post_qe,lag10,path,0,own_lags_only,10,0.007543672872961001,-0.0005087821751069299,0.0008449140176326007,0.49191138532187983,4300
ftse250,post_qe,lag10,path,5,own_lags_only,10,0.007543672872961001,0.0008032471329892975,0.00155170654180811,0.037365483802261124,4295
ftse250,post_qe,lag10,path,10,own_lags_only,10,0.007543672872961001,-0.0001173366854035902,0.0014404397932700481,0.3333389637188743,4290
ftse250,post_qe,lag10,path,20,own_lags_only,10,0.007543672872961001,-0.0006577163759086755,0.0003655093765688751,0.9077646200949244,4280
ftse250,post_qe,lag10,qe,0,own_lags_only,10,0.008275834415266841,-3.992729569664787e-05,9.208487481650092e-05,0.9249998898286688,4300
ftse250,post_qe,lag10,qe,5,own_lags_only,10,0.008275834415266841,-0.0005308822377729436,0.001016627937159199,0.8314786460294546,4295
ftse250,post_qe,lag10,qe,10,own_lags_only,10,0.008275834415266841,0.0003010755385031051,0.0011548435319381494,0.4693589193561164,4290
ftse250,post_qe,lag10,qe,20,own_lags_only,10,0.008275834415266841,0.0010934106522574067,0.003699285118108016,0.06908280990458618,4280
ftse250,post_qe,lag10,target,0,own_lags_only,10,0.006034745462165063,-0.00042284460079816287,-0.0005749937124058313,0.0017658422262076545,4300
ftse250,post_qe,lag10,target,5,own_lags_only,10,0.006034745462165063,-0.0004036515940262276,-0.002616005921207468,0.010787576793506164,4295
ftse250,post_qe,lag10,target,10,own_lags_only,10,0.006034745462165063,-0.0008774886997387081,-0.002164282668954944,0.010712307414021249,4290
ftse250,post_qe,lag10,target,20,own_lags_only,10,0.006034745462165063,-0.0010578550010945324,-0.0030761671954244703,0.01884390978468261,4280
ftse250,post_qe,ftse100_controls,path,0,ftse100,5,0.007543672872961001,6.776960907962108e-05,0.000449435018659357,0.13047669501483108,4300
ftse250,post_qe,ftse100_controls,path,5,ftse100,5,0.007543672872961001,0.0013632858481843688,0.0011615754229330213,0.0288075174022868,4295
ftse250,post_qe,ftse100_controls,path,10,ftse100,5,0.007543672872961001,0.00046124698832569625,0.0010788581295523882,0.29975280363309853,4290
ftse250,post_qe,ftse100_controls,path,20,ftse100,5,0.007543672872961001,3.022790935050398e-05,1.525133905528718e-05,0.9863284623635538,4280
ftse250,post_qe,ftse100_controls,qe,0,ftse100,5,0.008275834415266841,1.4127510921640474e-05,-0.0002481503697442268,0.5592363342158355,4300
ftse250,post_qe,ftse100_controls,qe,5,ftse100,5,0.008275834415266841,-0.0005040785701750845,0.0005554044841620203,0.9792414238757088,4295
ftse250,post_qe,ftse100_controls,qe,10,ftse100,5,0.008275834415266841,0.00026623323767057587,0.0007674839060710429,0.5603460773047872,4290
ftse250,post_qe,ftse100_controls,qe,20,ftse100,5,0.008275834415266841,0.001098216428411177,0.003318872430745756,0.07474608889533253,4280
ftse250,post_qe,ftse100_controls,target,0,ftse100,5,0.006034745462165063,-1.014253735016371e-05,-0.0003133095276705969,0.16224675103957575,4300
ftse250,post_qe,ftse100_controls,target,5,ftse100,5,0.006034745462165063,3.071186305558563e-05,-0.002348769620752686,0.03835107815391969,4295
ftse250,post_qe,ftse100_controls,target,10,ftse100,5,0.006034745462165063,-0.00043834651950004676,-0.001853875434257145,0.05340019562799524,4290
ftse250,post_qe,ftse100_controls,target,20,ftse100,5,0.006034745462165063,-0.0005847241218938749,-0.0028062013238784682,0.048585726188936175,4280
ftse250,post_qe,allshare_controls,path,0,ftse_all_share,5,0.007543672872961001,9.095101767358629e-05,0.00035909448978092194,0.12665909000115919,4300
ftse250,post_qe,allshare_controls,path,5,ftse_all_share,5,0.007543672872961001,0.0013876030468201817,0.0010654161516384926,0.03290738684706989,4295
ftse250,post_qe,allshare_controls,path,10,ftse_all_share,5,0.007543672872961001,0.00048100996449234576,0.000985407992927509,0.3230702794747027,4290
ftse250,post_qe,allshare_controls,path,20,ftse_all_share,5,0.007543672872961001,5.1380472655038825e-05,-8.051143936605094e-05,0.991210071482166,4280
ftse250,post_qe,allshare_controls,qe,0,ftse_all_share,5,0.008275834415266841,2.29323027111514e-05,-0.00022578377606751937,0.5533323145500477,4300
ftse250,post_qe,allshare_controls,qe,5,ftse_all_share,5,0.008275834415266841,-0.0004969731169099815,0.0005868765884375985,0.9636969793209931,4295
ftse250,post_qe,allshare_controls,qe,10,ftse_all_share,5,0.008275834415266841,0.0002714069018025606,0.0007919484416534005,0.5477390342174404,4290
ftse250,post_qe,allshare_controls,qe,20,ftse_all_share,5,0.008275834415266841,0.0011006608373596142,0.0033529693274450345,0.07403496641995808,4280
ftse250,post_qe,allshare_controls,target,0,ftse_all_share,5,0.006034745462165063,1.1495196433657285e-05,-0.0002559185250142435,0.2207787983951206,4300
ftse250,post_qe,allshare_controls,target,5,ftse_all_share,5,0.006034745462165063,5.1383620695884175e-05,-0.002287845592749212,0.04321915593685778,4295
ftse250,post_qe,allshare_controls,target,10,ftse_all_share,5,0.006034745462165063,-0.00041609098624055215,-0.0017911044976587035,0.061301268592615754,4290
ftse250,post_qe,allshare_controls,target,20,ftse_all_share,5,0.006034745462165063,-0.0005652921522694388,-0.002744775465521666,0.05543383576730117,4280
ftse250,post_qe,dual_controls,path,0,ftse100+ftse_all_share,5,0.007543672872961001,4.2164244721820016e-05,-2.8764931654949544e-06,0.3726550198659111,4300
ftse250,post_qe,dual_controls,path,5,ftse100+ftse_all_share,5,0.007543672872961001,0.0010875341137873316,0.0008113998641245981,0.08437721028245598,4295
ftse250,post_qe,dual_controls,path,10,ftse100+ftse_all_share,5,0.007543672872961001,0.0002539690014584027,0.0006994043416125768,0.5021889656224425,4290
ftse250,post_qe,dual_controls,path,20,ftse100+ftse_all_share,5,0.007543672872961001,-0.00044077709719735466,-0.00029612439901245663,0.7596521118686415,4280
ftse250,post_qe,dual_controls,qe,0,ftse100+ftse_all_share,5,0.008275834415266841,7.344987933965049e-05,2.2173388812131298e-05,0.045382196405785086,4300
ftse250,post_qe,dual_controls,qe,5,ftse100+ftse_all_share,5,0.008275834415266841,-0.000554917450730015,0.0005088522417767868,0.97812105461371,4295
ftse250,post_qe,dual_controls,qe,10,ftse100+ftse_all_share,5,0.008275834415266841,0.00025464482062889833,0.0008268903086819511,0.5077183124887958,4290
ftse250,post_qe,dual_controls,qe,20,ftse100+ftse_all_share,5,0.008275834415266841,0.0009433834847195399,0.0030947681937483706,0.07426526855257272,4280
ftse250,post_qe,dual_controls,target,0,ftse100+ftse_all_share,5,0.006034745462165063,-1.477962335182116e-05,-3.611346304854621e-05,0.10095499845372113,4300
ftse250,post_qe,dual_controls,target,5,ftse100+ftse_all_share,5,0.006034745462165063,0.00010908053947127769,-0.0019284873998347087,0.05126903982177413,4295
ftse250,post_qe,dual_controls,target,10,ftse100+ftse_all_share,5,0.006034745462165063,-0.0003808153276168836,-0.0014788390765554486,0.08828122377114374,4290
ftse250,post_qe,dual_controls,target,20,ftse100+ftse_all_share,5,0.006034745462165063,-0.00043164811636425197,-0.0022352847793136576,0.12404795395825549,4280
ftse250,pre_super_thursday,baseline,path,0,own_lags_only,5,0.00792189879874463,-5.447916844211363e-05,0.00030742640377230267,0.689299674681448,4590
ftse250,pre_super_thursday,baseline,path,5,own_lags_only,5,0.00792189879874463,-0.0003616505510719839,0.0004348032857246844,0.961571831555385,4590
ftse250,pre_super_thursday,baseline,path,10,own_lags_only,5,0.00792189879874463,-0.0003228893156968796,0.001104285876475333,0.7428194150448548,4590
ftse250,pre_super_thursday,baseline,path,20,own_lags_only,5,0.00792189879874463,-0.0003533410399222699,0.0017462973126452536,0.6310251149230748,4590
ftse250,pre_super_thursday,baseline,qe,0,own_lags_only,5,0.008596139514184975,7.545375672696453e-05,-0.00036060915490562003,0.7939561996855375,1621
ftse250,pre_super_thursday,baseline,qe,5,own_lags_only,5,0.008596139514184975,-0.0009515256482332504,0.0002344199270643092,0.7670898122055396,1621
ftse250,pre_super_thursday,baseline,qe,10,own_lags_only,5,0.008596139514184975,-0.00016870601764096098,0.0007650274591170918,0.8623840210686994,1621
ftse250,pre_super_thursday,baseline,qe,20,own_lags_only,5,0.008596139514184975,0.0010537408708575027,0.0036350297403501867,0.21460795903794427,1621
ftse250,pre_super_thursday,baseline,target,0,own_lags_only,5,0.012999276088669019,-0.0007551276586784649,-0.0004914219943455098,0.0248127335758337,4590
ftse250,pre_super_thursday,baseline,target,5,own_lags_only,5,0.012999276088669019,-0.0008511941533205921,-0.0018544588932573357,0.07589293358649618,4590
ftse250,pre_super_thursday,baseline,target,10,own_lags_only,5,0.012999276088669019,-0.0018692196191399276,-0.003297491772947855,0.034649046129746355,4590
ftse250,pre_super_thursday,baseline,target,20,own_lags_only,5,0.012999276088669019,-0.001555802314869183,-0.003224054789117599,0.0748219189037014,4590
ftse250,pre_super_thursday,lag10,path,0,own_lags_only,10,0.00792189879874463,-0.00012090290510588769,0.0003043117186851828,0.7703994321930329,4589
ftse250,pre_super_thursday,lag10,path,5,own_lags_only,10,0.00792189879874463,-0.0004365976336235884,0.0003668146815728762,0.9634291736587851,4589
ftse250,pre_super_thursday,lag10,path,10,own_lags_only,10,0.00792189879874463,-0.0004404744453221387,0.0010577736266708835,0.7950216566966678,4589
